Most important legitimate n_grams
2316. ng_ - freq: 16
2317. nse - freq: 16
2318. o-a - freq: 16
2319. o-n - freq: 16
2320. o-t - freq: 16
2321. ofe - freq: 16
2322. ols - freq: 16
2323. omb - freq: 16
2324. oog - freq: 16
2325. opl - freq: 16
2326. or/ - freq: 16
2327. oss - freq: 16
2328. ots - freq: 16
2329. pad - freq: 16
2330. pdf - freq: 16
2331. pes - freq: 16
2332. poi - freq: 16
2333. pop - freq: 16
2334. ppe - freq: 16
2335. pra - freq: 16
2336. ps- - freq: 16
2337. quo - freq: 16
2338. r-o - freq: 16
2339. r/a - freq: 16
2340. rba - freq: 16
2341. rda - freq: 16
2342. rl= - freq: 16
2343. rle - freq: 16
2344. rsa - freq: 16
2345. rse - freq: 16
2346. s-u - freq: 16
2347. s/? - freq: 16
2348. s/h - freq: 16
2349. s/l - freq: 16
2350. see - freq: 16
2351. so- - freq: 16
2352. t-n - freq: 16
2353. t.h - freq: 16
2354. t/t - freq: 16
2355. tao - freq: 16
2356. tbo - freq: 16
2357. th/ - freq: 16
2358. tik - freq: 16
2359. tod - freq: 16
2360. tog - freq: 16
2361. tti - freq: 16
2362. ull - freq: 16
2363. uot - freq: 16
2364. upp - freq: 16
2365. wei - freq: 16
2366. wes - freq: 16
2367. y-f - freq: 16
2368. yal - freq: 16
2369. yle - freq: 16
2370. yor - freq: 16
2371. %b8 - freq: 15
2372. -19 - freq: 15
2373. -?? - freq: 15
2374. -ci - freq: 15
2375. -ed - freq: 15
2376. -im - freq: 15
2377. -ni - freq: 15
2378. -nu - freq: 15
2379. -op - freq: 15
2380. -ou - freq: 15
2381. -up - freq: 15
2382. -v- - freq: 15
2383. .cr - freq: 15
2384. .gr - freq: 15
2385. .ha - freq: 15
2386. .nl - freq: 15
2387. .pc - freq: 15
2388. .se - freq: 15
2389. .sk - freq: 15
2390. .za - freq: 15
2391. /17 - freq: 15
2392. /?c - freq: 15
2393. /am - freq: 15
2394. /as - freq: 15
2395. /ed - freq: 15
2396. /op - freq: 15
2397. /uk - freq: 15
2398. 019 - freq: 15
2399. 185 - freq: 15
2400. 2.h - freq: 15
2401. 253 - freq: 15
2402. 287 - freq: 15
2403. 3%a - freq: 15
2404. 364 - freq: 15
2405. 376 - freq: 15
2406. 728 - freq: 15
2407. 818 - freq: 15
2408. 8a- - freq: 15
2409. 8bs - freq: 15
2410. =99 - freq: 15
2411. ?-? - freq: 15
2412. ??- - freq: 15
2413. ?la - freq: 15
2414. _po - freq: 15
2415. a-f - freq: 15
2416. a-i - freq: 15
2417. a/p - freq: 15
2418. agr - freq: 15
2419. ald - freq: 15
2420. au/ - freq: 15
2421. aus - freq: 15
2422. bit - freq: 15
2423. bs% - freq: 15
2424. bun - freq: 15
2425. ca- - freq: 15
2426. cop - freq: 15
2427. cov - freq: 15
2428. cru - freq: 15
2429. d-b - freq: 15
2430. dec - freq: 15
2431. dge - freq: 15
2432. dol - freq: 15
2433. dor - freq: 15
2434. du- - freq: 15
2435. e-y - freq: 15
2436. e.d - freq: 15
2437. e=1 - freq: 15
2438. ebl - freq: 15
2439. ecr - freq: 15
2440. ed/ - freq: 15
2441. ei. - freq: 15
2442. eis - freq: 15
2443. el. - freq: 15
2444. eo- - freq: 15
2445. eto - freq: 15
2446. fai - freq: 15
2447. g-m - freq: 15
2448. gag - freq: 15
2449. gan - freq: 15
2450. ge/ - freq: 15
2451. ht- - freq: 15
2452. i-d - freq: 15
2453. i-t - freq: 15
2454. i.j - freq: 15
2455. iam - freq: 15
2456. ibi - freq: 15
2457. id/ - freq: 15
2458. ifo - freq: 15
2459. il/ - freq: 15
2460. ios - freq: 15
2461. jsp - freq: 15
2462. k-a - freq: 15
2463. ki- - freq: 15
2464. kra - freq: 15
2465. l-e - freq: 15
2466. la. - freq: 15
2467. lad - freq: 15
2468. ld. - freq: 15
2469. lls - freq: 15
2470. lo- - freq: 15
2471. lse - freq: 15
2472. lts - freq: 15
2473. m-t - freq: 15
2474. m=h - freq: 15
2475. mak - freq: 15
2476. mbl - freq: 15
2477. ml# - freq: 15
2478. mmu - freq: 15
2479. n%2 - freq: 15
2480. n-r - freq: 15
2481. n.n - freq: 15
2482. n/? - freq: 15
2483. n/a - freq: 15
2484. nd. - freq: 15
2485. ngt - freq: 15
2486. odi - freq: 15
2487. old - freq: 15
2488. op_ - freq: 15
2489. ose - freq: 15
2490. oul - freq: 15
2491. ox- - freq: 15
2492. p-f - freq: 15
2493. pli - freq: 15
2494. px? - freq: 15
2495. r.h - freq: 15
2496. r/m - freq: 15
2497. rif - freq: 15
2498. rim - freq: 15
2499. rk. - freq: 15
2500. s%e - freq: 15
2501. sis - freq: 15
2502. t/2 - freq: 15
2503. tam - freq: 15
2504. ttl - freq: 15
2505. u/c - freq: 15
2506. ube - freq: 15
2507. umb - freq: 15
2508. v.c - freq: 15
2509. vs- - freq: 15
2510. we- - freq: 15
2511. whi - freq: 15
2512. y-n - freq: 15
2513. yst - freq: 15
2514. z.c - freq: 15
2515. zen - freq: 15
2516. %7c - freq: 14
2517. %bf - freq: 14
2518. &co - freq: 14
2519. -30 - freq: 14
2520. -by - freq: 14
2521. -e- - freq: 14
2522. -ec - freq: 14
2523. -sl - freq: 14
2524. .be - freq: 14
2525. .cb - freq: 14
2526. .dr - freq: 14
2527. .fa - freq: 14
2528. .hu - freq: 14
2529. .js - freq: 14
2530. .us - freq: 14
2531. //j - freq: 14
2532. //l - freq: 14
2533. //v - freq: 14
2534. /c/ - freq: 14
2535. /ev - freq: 14
2536. /gr - freq: 14
2537. /na - freq: 14
2538. /ti - freq: 14
2539. /tu - freq: 14
2540. 01. - freq: 14
2541. 1%c - freq: 14
2542. 122 - freq: 14
2543. 128 - freq: 14
2544. 130 - freq: 14
2545. 2-% - freq: 14
2546. 24. - freq: 14
2547. 2fs - freq: 14
2548. 360 - freq: 14
2549. 395 - freq: 14
2550. 4%9 - freq: 14
2551. 4-% - freq: 14
2552. 4.h - freq: 14
2553. 417 - freq: 14
2554. 448 - freq: 14
2555. 452 - freq: 14
2556. 5%8 - freq: 14
2557. 5%9 - freq: 14
2558. 538 - freq: 14
2559. 716 - freq: 14
2560. 830 - freq: 14
2561. 8bu - freq: 14
2562. 8c- - freq: 14
2563. 9.h - freq: 14
2564. 954 - freq: 14
2565. 970 - freq: 14
2566. =2. - freq: 14
2567. =ne - freq: 14
2568. =pr - freq: 14
2569. _sh - freq: 14
2570. _te - freq: 14
2571. a-h - freq: 14
2572. a-w - freq: 14
2573. a=2 - freq: 14
2574. agi - freq: 14
2575. ai- - freq: 14
2576. aid - freq: 14
2577. aob - freq: 14
2578. aro - freq: 14
2579. aza - freq: 14
2580. bao - freq: 14
2581. bel - freq: 14
2582. bf% - freq: 14
2583. bsc - freq: 14
2584. bui - freq: 14
2585. c%8 - freq: 14
2586. c-% - freq: 14
2587. dal - freq: 14
2588. dom - freq: 14
2589. dy- - freq: 14
2590. e&u - freq: 14
2591. e.g - freq: 14
2592. e_t - freq: 14
2593. eck - freq: 14
2594. eel - freq: 14
2595. eit - freq: 14
2596. eke - freq: 14
2597. enn - freq: 14
2598. erk - freq: 14
2599. eth - freq: 14
2600. eva - freq: 14
2601. eze - freq: 14
2602. fla - freq: 14
2603. fun - freq: 14
2604. g-b - freq: 14
2605. g-d - freq: 14
2606. g-i - freq: 14
2607. g-w - freq: 14
2608. g/c - freq: 14
2609. ga= - freq: 14
2610. ge_ - freq: 14
2611. hec - freq: 14
2612. hed - freq: 14
2613. hem - freq: 14
2614. ik- - freq: 14
2615. ims - freq: 14
2616. ipe - freq: 14
2617. iph - freq: 14
2618. ius - freq: 14
2619. iya - freq: 14
2620. kes - freq: 14
2621. kid - freq: 14
2622. kis - freq: 14
2623. kor - freq: 14
2624. kut - freq: 14
2625. l-d - freq: 14
2626. l-i - freq: 14
2627. l-t - freq: 14
2628. l-w - freq: 14
2629. ld/ - freq: 14
2630. m-s - freq: 14
2631. m/1 - freq: 14
2632. mba - freq: 14
2633. me_ - freq: 14
2634. mi- - freq: 14
2635. mma - freq: 14
2636. mpi - freq: 14
2637. n-n - freq: 14
2638. nd/ - freq: 14
2639. nfl - freq: 14
2640. nue - freq: 14
2641. o-f - freq: 14
2642. o.p - freq: 14
2643. o/s - freq: 14
2644. ok. - freq: 14
2645. on% - freq: 14
2646. orp - freq: 14
2647. osa - freq: 14
2648. ow. - freq: 14
2649. ow/ - freq: 14
2650. ox. - freq: 14
2651. pal - freq: 14
2652. pur - freq: 14
2653. rd_ - freq: 14
2654. rdu - freq: 14
2655. rer - freq: 14
2656. rgo - freq: 14
2657. rks - freq: 14
2658. s.n - freq: 14
2659. sci - freq: 14
2660. slo - freq: 14
2661. smi - freq: 14
2662. sus - freq: 14
2663. t.n - freq: 14
2664. t_t - freq: 14
2665. tcm - freq: 14
2666. tou - freq: 14
2667. tud - freq: 14
2668. tv/ - freq: 14
2669. twa - freq: 14
2670. u-t - freq: 14
2671. uca - freq: 14
2672. ue. - freq: 14
2673. uil - freq: 14
2674. vas - freq: 14
2675. wea - freq: 14
2676. y-e - freq: 14
2677. yer - freq: 14
2678. za- - freq: 14
2679. zet - freq: 14
2680. %2c - freq: 13
2681. %8d - freq: 13
2682. %ba - freq: 13
2683. %bd - freq: 13
2684. -ag - freq: 13
2685. -ai - freq: 13
2686. -er - freq: 13
2687. -eu - freq: 13
2688. -je - freq: 13
2689. -pu - freq: 13
2690. -tv - freq: 13
2691. .ap - freq: 13
2692. .ja - freq: 13
2693. .nb - freq: 13
2694. .ro - freq: 13
2695. .sc - freq: 13
2696. .yo - freq: 13
2697. /15 - freq: 13
2698. /19 - freq: 13
2699. /dr - freq: 13
2700. /ec - freq: 13
2701. /ja - freq: 13
2702. /je - freq: 13
2703. /jo - freq: 13
2704. /or - freq: 13
2705. /un - freq: 13
2706. 030 - freq: 13
2707. 049 - freq: 13
2708. 1-2 - freq: 13
2709. 114 - freq: 13
2710. 141 - freq: 13
2711. 156 - freq: 13
2712. 178 - freq: 13
2713. 192 - freq: 13
2714. 194 - freq: 13
2715. 241 - freq: 13
2716. 265 - freq: 13
2717. 286 - freq: 13
2718. 437 - freq: 13
2719. 600 - freq: 13
2720. 630 - freq: 13
2721. 792 - freq: 13
2722. 796 - freq: 13
2723. 8.c - freq: 13
2724. 812 - freq: 13
2725. 834 - freq: 13
2726. 870 - freq: 13
2727. =00 - freq: 13
2728. =co - freq: 13
2729. =en - freq: 13
2730. =he - freq: 13
2731. =ma - freq: 13
2732. _hp - freq: 13
2733. _la - freq: 13
2734. _ti - freq: 13
2735. _tr - freq: 13
2736. _us - freq: 13
2737. aaa - freq: 13
2738. adu - freq: 13
2739. afe - freq: 13
2740. ago - freq: 13
2741. agu - freq: 13
2742. ak- - freq: 13
2743. alc - freq: 13
2744. aun - freq: 13
2745. ba- - freq: 13
2746. big - freq: 13
2747. bu% - freq: 13
2748. bur - freq: 13
2749. ck/ - freq: 13
2750. d-e - freq: 13
2751. d-f - freq: 13
2752. d-m - freq: 13
2753. doc - freq: 13
2754. dos - freq: 13
2755. dou - freq: 13
2756. dpr - freq: 13
2757. du/ - freq: 13
2758. dus - freq: 13
2759. e.j - freq: 13
2760. e/d - freq: 13
2761. e/w - freq: 13
2762. e_i - freq: 13
2763. eb- - freq: 13
2764. ed_ - freq: 13
2765. eda - freq: 13
2766. efr - freq: 13
2767. elt - freq: 13
2768. et_ - freq: 13
2769. evo - freq: 13
2770. exc - freq: 13
2771. fot - freq: 13
2772. fox - freq: 13
2773. ga- - freq: 13
2774. gge - freq: 13
2775. gif - freq: 13
2776. gs. - freq: 13
2777. h-f - freq: 13
2778. hic - freq: 13
2779. ho- - freq: 13
2780. hum - freq: 13
2781. i-c - freq: 13
2782. iat - freq: 13
2783. ibr - freq: 13
2784. ig- - freq: 13
2785. ika - freq: 13
2786. imi - freq: 13
2787. inm - freq: 13
2788. io. - freq: 13
2789. irg - freq: 13
2790. iye - freq: 13
2791. jec - freq: 13
2792. juy - freq: 13
2793. k-i - freq: 13
2794. k-s - freq: 13
2795. kal - freq: 13
2796. kha - freq: 13
2797. ks. - freq: 13
2798. l%e - freq: 13
2799. l-p - freq: 13
2800. l-r - freq: 13
2801. l/n - freq: 13
2802. lam - freq: 13
2803. lei - freq: 13
2804. loo - freq: 13
2805. m.h - freq: 13
2806. m/# - freq: 13
2807. maz - freq: 13
2808. mbr - freq: 13
2809. mit - freq: 13
2810. mo- - freq: 13
2811. n-l - freq: 13
2812. n.o - freq: 13
2813. ng= - freq: 13
2814. ngu - freq: 13
2815. nim - freq: 13
2816. niv - freq: 13
2817. nks - freq: 13
2818. nni - freq: 13
2819. no/ - freq: 13
2820. obo - freq: 13
2821. oce - freq: 13
2822. odo - freq: 13
2823. ods - freq: 13
2824. ok- - freq: 13
2825. oke - freq: 13
2826. oki - freq: 13
2827. orc - freq: 13
2828. oro - freq: 13
2829. ovo - freq: 13
2830. oya - freq: 13
2831. p-p - freq: 13
2832. pea - freq: 13
2833. pto - freq: 13
2834. r/e - freq: 13
2835. rar - freq: 13
2836. rek - freq: 13
2837. rez - freq: 13
2838. rk/ - freq: 13
2839. rm= - freq: 13
2840. s.r - freq: 13
2841. sce - freq: 13
2842. sed - freq: 13
2843. st_ - freq: 13
2844. t%2 - freq: 13
2845. t-e - freq: 13
2846. t/1 - freq: 13
2847. t/a - freq: 13
2848. t/n - freq: 13
2849. thl - freq: 13
2850. tir - freq: 13
2851. tua - freq: 13
2852. tub - freq: 13
2853. u%e - freq: 13
2854. up- - freq: 13
2855. upo - freq: 13
2856. usa - freq: 13
2857. va. - freq: 13
2858. vet - freq: 13
2859. xer - freq: 13
2860. xpe - freq: 13
2861. y/2 - freq: 13
2862. yea - freq: 13
2863. yel - freq: 13
2864. %94 - freq: 12
2865. %ab - freq: 12
2866. &gg - freq: 12
2867. &sc - freq: 12
2868. -01 - freq: 12
2869. -hu - freq: 12
2870. -ip - freq: 12
2871. -ya - freq: 12
2872. -ze - freq: 12
2873. .ad - freq: 12
2874. .io - freq: 12
2875. .ki - freq: 12
2876. .ko - freq: 12
2877. .ve - freq: 12
2878. .wo - freq: 12
2879. /16 - freq: 12
2880. /47 - freq: 12
2881. /cc - freq: 12
2882. /ex - freq: 12
2883. /gl - freq: 12
2884. /ka - freq: 12
2885. /pu - freq: 12
2886. 005 - freq: 12
2887. 027 - freq: 12
2888. 044 - freq: 12
2889. 079 - freq: 12
2890. 08/ - freq: 12
2891. 1.1 - freq: 12
2892. 118 - freq: 12
2893. 123 - freq: 12
2894. 136 - freq: 12
2895. 143 - freq: 12
2896. 144 - freq: 12
2897. 149 - freq: 12
2898. 164 - freq: 12
2899. 186 - freq: 12
2900. 187 - freq: 12
2901. 205 - freq: 12
2902. 227 - freq: 12
2903. 229 - freq: 12
2904. 272 - freq: 12
2905. 3.h - freq: 12
2906. 30/ - freq: 12
2907. 310 - freq: 12
2908. 389 - freq: 12
2909. 400 - freq: 12
2910. 410 - freq: 12
2911. 418 - freq: 12
2912. 431 - freq: 12
2913. 432 - freq: 12
2914. 450 - freq: 12
2915. 481 - freq: 12
2916. 484 - freq: 12
2917. 497 - freq: 12
2918. 5.1 - freq: 12
2919. 5.h - freq: 12
2920. 542 - freq: 12
2921. 549 - freq: 12
2922. 700 - freq: 12
2923. 8-% - freq: 12
2924. 846 - freq: 12
2925. 848 - freq: 12
2926. 874 - freq: 12
2927. 894 - freq: 12
2928. 8bk - freq: 12
2929. 8bl - freq: 12
2930. 905 - freq: 12
2931. =11 - freq: 12
2932. _or - freq: 12
2933. _to - freq: 12
2934. a-o - freq: 12
2935. a.g - freq: 12
2936. a.h - freq: 12
2937. a9% - freq: 12
2938. afi - freq: 12
2939. alm - freq: 12
2940. ape - freq: 12
2941. asu - freq: 12
2942. aye - freq: 12
2943. bk% - freq: 12
2944. bl% - freq: 12
2945. bon - freq: 12
2946. bsi - freq: 12
2947. cbs - freq: 12
2948. cs. - freq: 12
2949. ct= - freq: 12
2950. cta - freq: 12
2951. cte - freq: 12
2952. d-h - freq: 12
2953. d=3 - freq: 12
2954. d=h - freq: 12
2955. das - freq: 12
2956. e-u - freq: 12
2957. e.f - freq: 12
2958. e.i - freq: 12
2959. e/3 - freq: 12
2960. e=h - freq: 12
2961. ebe - freq: 12
2962. ebi - freq: 12
2963. ee. - freq: 12
2964. egu - freq: 12
2965. eho - freq: 12
2966. eks - freq: 12
2967. etw - freq: 12
2968. ewa - freq: 12
2969. ewe - freq: 12
2970. ey. - freq: 12
2971. f-b - freq: 12
2972. fas - freq: 12
2973. flo - freq: 12
2974. fo/ - freq: 12
2975. g-f - freq: 12
2976. g.n - freq: 12
2977. g/2 - freq: 12
2978. gg_ - freq: 12
2979. gil - freq: 12
2980. gs/ - freq: 12
2981. gun - freq: 12
2982. heh - freq: 12
2983. hie - freq: 12
2984. i-i - freq: 12
2985. ibl - freq: 12
2986. icu - freq: 12
2987. iet - freq: 12
2988. imu - freq: 12
2989. ipa - freq: 12
2990. ips - freq: 12
2991. ipt - freq: 12
2992. isn - freq: 12
2993. isp - freq: 12
2994. itc - freq: 12
2995. izi - freq: 12
2996. izo - freq: 12
2997. k%e - freq: 12
2998. k-f - freq: 12
2999. ked - freq: 12
3000. kit - freq: 12
3001. ks/ - freq: 12
3002. kto - freq: 12
3003. l-a - freq: 12
3004. l-b - freq: 12
3005. l?i - freq: 12
3006. l?r - freq: 12
3007. ldf - freq: 12
3008. lex - freq: 12
3009. lik - freq: 12
3010. lop - freq: 12
3011. lso - freq: 12
3012. ltr - freq: 12
3013. ltu - freq: 12
3014. lyw - freq: 12
3015. m-m - freq: 12
3016. mea - freq: 12
3017. meb - freq: 12
3018. mie - freq: 12
3019. mju - freq: 12
3020. mpr - freq: 12
3021. msu - freq: 12
3022. n-w - freq: 12
3023. nd_ - freq: 12
3024. ndl - freq: 12
3025. nla - freq: 12
3026. nn. - freq: 12
3027. nso - freq: 12
3028. nty - freq: 12
3029. o%e - freq: 12
3030. obe - freq: 12
3031. obs - freq: 12
3032. od- - freq: 12
3033. od. - freq: 12
3034. ody - freq: 12
3035. oic - freq: 12
3036. onc - freq: 12
3037. ot. - freq: 12
3038. otr - freq: 12
3039. ov- - freq: 12
3040. p_p - freq: 12
3041. pis - freq: 12
3042. pit - freq: 12
3043. r-n - freq: 12
3044. r/d - freq: 12
3045. r/h - freq: 12
3046. ra/ - freq: 12
3047. raz - freq: 12
3048. rib - freq: 12
3049. riz - freq: 12
3050. rm- - freq: 12
3051. rof - freq: 12
3052. rog - freq: 12
3053. roi - freq: 12
3054. ruc - freq: 12
3055. s.g - freq: 12
3056. s/9 - freq: 12
3057. s/g - freq: 12
3058. s/v - freq: 12
3059. say - freq: 12
3060. scm - freq: 12
3061. ski - freq: 12
3062. t/b - freq: 12
3063. t/p - freq: 12
3064. t=1 - freq: 12
3065. tea - freq: 12
3066. thu - freq: 12
3067. ti- - freq: 12
3068. twe - freq: 12
3069. u-s - freq: 12
3070. u/s - freq: 12
3071. ua- - freq: 12
3072. ubt - freq: 12
3073. uck - freq: 12
3074. une - freq: 12
3075. up/ - freq: 12
3076. utt - freq: 12
3077. vac - freq: 12
3078. vec - freq: 12
3079. vem - freq: 12
3080. xia - freq: 12
3081. y%2 - freq: 12
3082. y-g - freq: 12
3083. y-w - freq: 12
3084. %3f - freq: 11
3085. %9c - freq: 11
3086. %a3 - freq: 11
3087. %a4 - freq: 11
3088. %b7 - freq: 11
3089. -1- - freq: 11
3090. -16 - freq: 11
3091. -25 - freq: 11
3092. -26 - freq: 11
3093. -28 - freq: 11
3094. -48 - freq: 11
3095. -av - freq: 11
3096. -ea - freq: 11
3097. -gl - freq: 11
3098. -ku - freq: 11
3099. -my - freq: 11
3100. -sv - freq: 11
3101. -tw - freq: 11
3102. .10 - freq: 11
3103. .cd - freq: 11
3104. .cz - freq: 11
3105. .eb - freq: 11
3106. .es - freq: 11
3107. .ka - freq: 11
3108. .ni - freq: 11
3109. .pi - freq: 11
3110. .tv - freq: 11
3111. /.1 - freq: 11
3112. /08 - freq: 11
3113. /27 - freq: 11
3114. /30 - freq: 11
3115. /32 - freq: 11
3116. /43 - freq: 11
3117. /50 - freq: 11
3118. /ki - freq: 11
3119. /my - freq: 11
3120. /sl - freq: 11
3121. 0-o - freq: 11
3122. 010 - freq: 11
3123. 014 - freq: 11
3124. 017 - freq: 11
3125. 025 - freq: 11
3126. 046 - freq: 11
3127. 055 - freq: 11
3128. 103 - freq: 11
3129. 106 - freq: 11
3130. 107 - freq: 11
3131. 109 - freq: 11
3132. 12- - freq: 11
3133. 135 - freq: 11
3134. 173 - freq: 11
3135. 190 - freq: 11
3136. 195 - freq: 11
3137. 2%a - freq: 11
3138. 20- - freq: 11
3139. 204 - freq: 11
3140. 208 - freq: 11
3141. 20t - freq: 11
3142. 216 - freq: 11
3143. 224 - freq: 11
3144. 278 - freq: 11
3145. 284 - freq: 11
3146. 292 - freq: 11
3147. 2f. - freq: 11
3148. 312 - freq: 11
3149. 318 - freq: 11
3150. 337 - freq: 11
3151. 382 - freq: 11
3152. 420 - freq: 11
3153. 434 - freq: 11
3154. 435 - freq: 11
3155. 444 - freq: 11
3156. 5-% - freq: 11
3157. 550 - freq: 11
3158. 591 - freq: 11
3159. 6.h - freq: 11
3160. 602 - freq: 11
3161. 622 - freq: 11
3162. 629 - freq: 11
3163. 645 - freq: 11
3164. 661 - freq: 11
3165. 663 - freq: 11
3166. 666 - freq: 11
3167. 681 - freq: 11
3168. 7.h - freq: 11
3169. 761 - freq: 11
3170. 805 - freq: 11
3171. 815 - freq: 11
3172. 856 - freq: 11
3173. 862 - freq: 11
3174. 8b3 - freq: 11
3175. 8b4 - freq: 11
3176. 8b8 - freq: 11
3177. 8bo - freq: 11
3178. 900 - freq: 11
3179. 918 - freq: 11
3180. 94% - freq: 11
3181. 985 - freq: 11
3182. 9c% - freq: 11
3183. =de - freq: 11
3184. =in - freq: 11
3185. ?ic - freq: 11
3186. ?sr - freq: 11
3187. _1_ - freq: 11
3188. _de - freq: 11
3189. _pa - freq: 11
3190. _rd - freq: 11
3191. a.n - freq: 11
3192. a.o - freq: 11
3193. a/2 - freq: 11
3194. a3% - freq: 11
3195. acu - freq: 11
3196. ah- - freq: 11
3197. aix - freq: 11
3198. ak. - freq: 11
3199. amb - freq: 11
3200. amm - freq: 11
3201. an/ - freq: 11
3202. axi - freq: 11
3203. aym - freq: 11
3204. ba. - freq: 11
3205. bay - freq: 11
3206. bbl - freq: 11
3207. bo% - freq: 11
3208. bom - freq: 11
3209. buc - freq: 11
3210. ced - freq: 11
3211. chu - freq: 11
3212. cip - freq: 11
3213. cis - freq: 11
3214. clu - freq: 11
3215. cy- - freq: 11
3216. cz/ - freq: 11
3217. d.d - freq: 11
3218. d/1 - freq: 11
3219. dad - freq: 11
3220. dba - freq: 11
3221. ded - freq: 11
3222. dme - freq: 11
3223. dmi - freq: 11
3224. dul - freq: 11
3225. e.o - freq: 11
3226. e.p - freq: 11
3227. e.r - freq: 11
3228. e.s - freq: 11
3229. e/h - freq: 11
3230. e/i - freq: 11
3231. ece - freq: 11
3232. edd - freq: 11
3233. eds - freq: 11
3234. eer - freq: 11
3235. ees - freq: 11
3236. efo - freq: 11
3237. eid - freq: 11
3238. elf - freq: 11
3239. em. - freq: 11
3240. emy - freq: 11
3241. eof - freq: 11
3242. epe - freq: 11
3243. esh - freq: 11
3244. ex_ - freq: 11
3245. f%c - freq: 11
3246. g-h - freq: 11
3247. g/d - freq: 11
3248. gea - freq: 11
3249. gio - freq: 11
3250. god - freq: 11
3251. h/a - freq: 11
3252. hap - freq: 11
3253. hef - freq: 11
3254. him - freq: 11
3255. hoe - freq: 11
3256. hwa - freq: 11
3257. iag - freq: 11
3258. idi - freq: 11
3259. idu - freq: 11
3260. ilt - freq: 11
3261. iqu - freq: 11
3262. ism - freq: 11
3263. ix. - freq: 11
3264. ixa - freq: 11
3265. j.c - freq: 11
3266. joh - freq: 11
3267. jou - freq: 11
3268. kap - freq: 11
3269. ki. - freq: 11
3270. kno - freq: 11
3271. ksg - freq: 11
3272. l&u - freq: 11
3273. l/e - freq: 11
3274. lm0 - freq: 11
3275. lo. - freq: 11
3276. ls. - freq: 11
3277. lte - freq: 11
3278. lum - freq: 11
3279. ms/ - freq: 11
3280. n-h - freq: 11
3281. n-j - freq: 11
3282. n.d - freq: 11
3283. n/i - freq: 11
3284. n/m - freq: 11
3285. nau - freq: 11
3286. ngi - freq: 11
3287. nka - freq: 11
3288. nno - freq: 11
3289. nut - freq: 11
3290. o-2 - freq: 11
3291. o-i - freq: 11
3292. o-o - freq: 11
3293. o.m - freq: 11
3294. o/t - freq: 11
3295. og- - freq: 11
3296. ogs - freq: 11
3297. oje - freq: 11
3298. oks - freq: 11
3299. ol/ - freq: 11
3300. ops - freq: 11
3301. oso - freq: 11
3302. ov. - freq: 11
3303. p-s - freq: 11
3304. pe. - freq: 11
3305. pet - freq: 11
3306. poo - freq: 11
3307. pp/ - freq: 11
3308. ps/ - freq: 11
3309. psu - freq: 11
3310. r-2 - freq: 11
3311. r-k - freq: 11
3312. r-u - freq: 11
3313. r.i - freq: 11
3314. raj - freq: 11
3315. rci - freq: 11
3316. re_ - freq: 11
3317. rex - freq: 11
3318. rob - freq: 11
3319. roj - freq: 11
3320. roy - freq: 11
3321. rpo - freq: 11
3322. rpr - freq: 11
3323. rto - freq: 11
3324. rtu - freq: 11
3325. s-j - freq: 11
3326. s/j - freq: 11
3327. s/o - freq: 11
3328. sar - freq: 11
3329. sgi - freq: 11
3330. siz - freq: 11
3331. spr - freq: 11
3332. ssa - freq: 11
3333. t.a - freq: 11
3334. tad - freq: 11
3335. tco - freq: 11
3336. ths - freq: 11
3337. tse - freq: 11
3338. u/p - freq: 11
3339. ud. - freq: 11
3340. ulu - freq: 11
3341. un- - freq: 11
3342. urd - freq: 11
3343. uts - freq: 11
3344. v-s - freq: 11
3345. wet - freq: 11
3346. wow - freq: 11
3347. xit - freq: 11
3348. y/1 - freq: 11
3349. zeb - freq: 11
3350. zei - freq: 11
3351. %95 - freq: 10
3352. &fr - freq: 10
3353. -14 - freq: 10
3354. -17 - freq: 10
3355. -24 - freq: 10
3356. -5- - freq: 10
3357. -ep - freq: 10
3358. -ot - freq: 10
3359. .12 - freq: 10
3360. .ar - freq: 10
3361. .at - freq: 10
3362. .dn - freq: 10
3363. .ev - freq: 10
3364. .fl - freq: 10
3365. .sn - freq: 10
3366. .ss - freq: 10
3367. //1 - freq: 10
3368. /21 - freq: 10
3369. /at - freq: 10
3370. /er - freq: 10
3371. /im - freq: 10
3372. /ke - freq: 10
3373. /sc - freq: 10
3374. /tv - freq: 10
3375. 0-% - freq: 10
3376. 0-b - freq: 10
3377. 0.c - freq: 10
3378. 004 - freq: 10
3379. 015 - freq: 10
3380. 038 - freq: 10
3381. 043 - freq: 10
3382. 063 - freq: 10
3383. 07/ - freq: 10
3384. 102 - freq: 10
3385. 108 - freq: 10
3386. 121 - freq: 10
3387. 13/ - freq: 10
3388. 139 - freq: 10
3389. 140 - freq: 10
3390. 146 - freq: 10
3391. 150 - freq: 10
3392. 159 - freq: 10
3393. 162 - freq: 10
3394. 165 - freq: 10
3395. 175 - freq: 10
3396. 197 - freq: 10
3397. 2.1 - freq: 10
3398. 20s - freq: 10
3399. 228 - freq: 10
3400. 239 - freq: 10
3401. 260 - freq: 10
3402. 316 - freq: 10
3403. 326 - freq: 10
3404. 336 - freq: 10
3405. 338 - freq: 10
3406. 339 - freq: 10
3407. 388 - freq: 10
3408. 408 - freq: 10
3409. 415 - freq: 10
3410. 421 - freq: 10
3411. 442 - freq: 10
3412. 488 - freq: 10
3413. 509 - freq: 10
3414. 529 - freq: 10
