Most important legitimate n_grams
407. min - freq: 69
408. rin - freq: 69
409. s/2 - freq: 69
410. sit - freq: 69
411. tru - freq: 69
412. %88 - freq: 68
413. -su - freq: 68
414. bra - freq: 68
415. cal - freq: 68
416. e-a - freq: 68
417. ili - freq: 68
418. lle - freq: 68
419. m/m - freq: 68
420. ner - freq: 68
421. of- - freq: 68
422. ory - freq: 68
423. s-c - freq: 68
424. top - freq: 68
425. -ha - freq: 67
426. -no - freq: 67
427. e-d - freq: 67
428. evi - freq: 67
429. fer - freq: 67
430. ium - freq: 67
431. ler - freq: 67
432. ord - freq: 67
433. oun - freq: 67
434. %85 - freq: 66
435. -11 - freq: 66
436. fre - freq: 66
437. gin - freq: 66
438. ve- - freq: 66
439. 84% - freq: 65
440. ace - freq: 65
441. ay- - freq: 65
442. diu - freq: 65
443. ime - freq: 65
444. ins - freq: 65
445. on. - freq: 65
446. th- - freq: 65
447. use - freq: 65
448. web - freq: 65
449. -la - freq: 64
450. 181 - freq: 64
451. den - freq: 64
452. en/ - freq: 64
453. erv - freq: 64
454. hea - freq: 64
455. me- - freq: 64
456. nat - freq: 64
457. s-t - freq: 64
458. se- - freq: 64
459. tim - freq: 64
460. %3d - freq: 63
461. %8c - freq: 63
462. %a8 - freq: 63
463. /bl - freq: 63
464. /po - freq: 63
465. 5%d - freq: 63
466. de/ - freq: 63
467. din - freq: 63
468. nge - freq: 63
469. pai - freq: 63
470. rat - freq: 63
471. unt - freq: 63
472. %87 - freq: 62
473. /pa - freq: 62
474. 88% - freq: 62
475. et. - freq: 62
476. ini - freq: 62
477. ll- - freq: 62
478. loc - freq: 62
479. mai - freq: 62
480. mat - freq: 62
481. ne. - freq: 62
482. pen - freq: 62
483. %af - freq: 61
484. -do - freq: 61
485. -wa - freq: 61
486. -we - freq: 61
487. 8bd - freq: 61
488. ave - freq: 61
489. cia - freq: 61
490. et- - freq: 61
491. eta - freq: 61
492. eve - freq: 61
493. hou - freq: 61
494. lar - freq: 61
495. m/f - freq: 61
496. m_s - freq: 61
497. st. - freq: 61
498. -be - freq: 60
