Most important phishing n_grams
440. ima - freq: 86
441. pag - freq: 86
442. tru - freq: 86
443. y.c - freq: 86
444. 6c6 - freq: 85
445. 765 - freq: 85
446. cre - freq: 85
447. d.1 - freq: 85
448. ifi - freq: 85
449. il= - freq: 85
450. mat - freq: 85
451. og/ - freq: 85
452. rec - freq: 85
453. spx - freq: 85
454. ull - freq: 85
455. /su - freq: 84
456. 702 - freq: 84
457. c11 - freq: 84
458. ne/ - freq: 84
459. .as - freq: 83
460. ity - freq: 83
461. o.c - freq: 83
462. p-a - freq: 83
463. ppo - freq: 83
464. din - freq: 82
465. men - freq: 82
466. sin - freq: 82
467. tun - freq: 82
468. .1& - freq: 81
469. 221 - freq: 81
470. 3b2 - freq: 81
471. 477 - freq: 81
472. 6f6 - freq: 81
473. t/p - freq: 81
474. /ap - freq: 80
475. 42& - freq: 80
476. 656 - freq: 80
477. ang - freq: 80
478. nts - freq: 80
479. upp - freq: 80
480. /da - freq: 79
481. /ne - freq: 79
482. 268 - freq: 79
483. a75 - freq: 79
484. ali - freq: 79
485. ant - freq: 79
486. itu - freq: 79
487. ng/ - freq: 79
488. off - freq: 79
489. e/a - freq: 78
490. ex2 - freq: 78
491. s/a - freq: 78
492. x2. - freq: 78
493. .in - freq: 77
494. /ve - freq: 77
495. asr - freq: 77
496. i.c - freq: 77
497. ite - freq: 77
498. t/c - freq: 77
499. wor - freq: 77
500. .ap - freq: 76
501. /li - freq: 76
502. 266 - freq: 76
503. de/ - freq: 76
504. e/c - freq: 76
505. er- - freq: 76
506. has - freq: 76
507. ml? - freq: 76
508. //o - freq: 75
509. 1&f - freq: 75
510. 122 - freq: 75
511. 4f5 - freq: 75
512. 756 - freq: 75
513. 7c1 - freq: 75
514. har - freq: 75
515. me/ - freq: 75
516. red - freq: 75
517. s/d - freq: 75
518. son - freq: 75
519. /en - freq: 74
520. /we - freq: 74
521. 2.p - freq: 74
522. 461 - freq: 74
523. 469 - freq: 74
524. 96e - freq: 74
525. ?co - freq: 74
526. ado - freq: 74
527. ale - freq: 74
528. d02 - freq: 74
529. e36 - freq: 74
530. fav - freq: 74
531. ne. - freq: 74
532. ona - freq: 74
533. p-i - freq: 74
534. rad - freq: 74
535. &fa - freq: 73
536. /pr - freq: 73
537. 070 - freq: 73
538. 132 - freq: 73
539. 2&f - freq: 73
540. 32d - freq: 73
541. 707 - freq: 73
542. er. - freq: 73
543. mag - freq: 73
544. man - freq: 73
545. ord - freq: 73
546. -id - freq: 72
547. art - freq: 72
548. ass - freq: 72
549. d6d - freq: 72
550. nta - freq: 72
551. rep - freq: 72
552. /bi - freq: 71
553. /sa - freq: 71
554. /ya - freq: 71
555. 668 - freq: 71
556. 681 - freq: 71
557. 7db - freq: 71
558. 811 - freq: 71
559. 917 - freq: 71
560. a/c - freq: 71
561. a=& - freq: 71
562. e.h - freq: 71
563. eba - freq: 71
564. ens - freq: 71
565. ks/ - freq: 71
566. out - freq: 71
567. scr - freq: 71
568. uti - freq: 71
569. 126 - freq: 70
570. cce - freq: 70
571. err - freq: 70
572. fa/ - freq: 70
573. le/ - freq: 70
574. m.b - freq: 70
575. rg/ - freq: 70
576. san - freq: 70
577. //n - freq: 69
578. 02e - freq: 69
579. 275 - freq: 69
580. efa - freq: 69
581. ew/ - freq: 69
582. ffi - freq: 69
583. icu - freq: 69
584. s/w - freq: 69
585. 24f - freq: 68
586. 2d0 - freq: 68
587. 374 - freq: 68
588. 582 - freq: 68
589. 69a - freq: 68
590. ack - freq: 68
591. r/s - freq: 68
592. tan - freq: 68
593. y.x - freq: 68
594. ych - freq: 68
595. .it - freq: 67
596. /.b - freq: 67
597. 014 - freq: 67
598. 172 - freq: 67
599. a/6 - freq: 67
600. m/d - freq: 67
601. mes - freq: 67
602. r/c - freq: 67
603. .ic - freq: 66
604. 2e3 - freq: 66
605. 53a - freq: 66
606. aho - freq: 66
607. ana - freq: 66
608. bof - freq: 66
609. e30 - freq: 66
610. g/s - freq: 66
611. ire - freq: 66
612. les - freq: 66
613. n/i - freq: 66
614. ner - freq: 66
615. oo/ - freq: 66
616. sha - freq: 66
617. yah - freq: 66
618. /20 - freq: 65
619. 369 - freq: 65
620. 737 - freq: 65
621. 77c - freq: 65
622. 802 - freq: 65
623. ful - freq: 65
624. t/w - freq: 65
